Company,TypeName,Ram,OpSys,Weight,Price_euros,Touchscreen,Ips,ppi,Cpu_brand,HDD,SSD,Gpu_brand
Dell,Ultrabook,8,Windows 10,0.47000362924573563,1149.0,0,0,5.058475878342969,Intel Core i5,0,256,Intel
Dell,2 in 1 Convertible,16,Windows 10,0.4824261492442928,1279.0,1,0,5.109769172730519,Intel Core i7,0,512,Intel
Dell,Notebook,8,Linux,0.7884573603642703,677.35,0,0,4.950262293702735,Intel Core i5,0,256,AMD
Lenovo,2 in 1 Convertible,8,Windows 10,0.5538851132264376,899.0,0,1,5.058475878342969,Intel Core i5,0,256,Intel
Toshiba,Ultrabook,8,Windows 10,0.1823215567939546,1363.0,0,0,5.109769172730519,Intel Core i7,0,256,Intel
HP,Notebook,8,Windows 10,0.7419373447293773,794.0,0,0,4.950262293702735,Intel Core i5,1000,0,Intel
Dell,Gaming,16,Windows 10,1.4861396960896067,2456.34,0,1,4.846826706454493,Intel Core i7,1000,256,Nvidia
Acer,Notebook,8,Windows 10,0.7884573603642703,832.0,0,0,4.950262293702735,Intel Core i7,0,256,Nvidia
Dell,Notebook,16,Windows 10,0.8329091229351039,859.01,1,0,4.950262293702735,Intel Core i7,1000,0,AMD
Asus,Notebook,8,Windows 10,0.6931471805599453,769.0,0,0,4.950262293702735,Intel Core i5,0,256,Nvidia
Asus,Notebook,8,Windows 10,0.9895411936137477,891.0,0,0,4.846826706454493,Intel Core i5,500,256,Nvidia
HP,Notebook,8,Windows 10,0.6418538861723947,1269.0,0,0,4.950262293702735,Intel Core i7,1000,0,AMD
Asus,Notebook,4,Windows 10,0.8628899551470398,398.99,0,0,4.609706579589369,Intel Core i3,1000,0,Intel
HP,Notebook,4,Windows 10,0.7419373447293773,330.0,0,0,4.609706579589369,AMD Processor,500,0,AMD
Lenovo,Gaming,16,Windows 10,1.1631508098056809,1499.0,0,1,4.950262293702735,Intel Core i7,1000,256,Nvidia
